section,photo_location,image_url,caption,photographer
section-1,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_102.jpg,"Left: Andrew McCarty, CPS'12, served in the Air Force from 2000-2004, poses for a portrait on Nov. 4, 2016. Center: Mathew St Marc, SSH'16, serves in the Army from 2006 - the present, poses for a portrait on Nov. 4, 2016. Right: Evarist Odinikaeze, L'18 served in the Coast Guard from 2009 - 2016, poses for a portrait on Nov. 4, 2016.  ",Left and center photo by Adam Glanzman. Right photo by Matthew Modoono
section-1,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_101.jpg,,
section-1,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_100.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_099.jpg,"North­eastern Uni­ver­sity expanded its com­mit­ment to stu­dent vet­erans by offi­cially opening a Vet­erans of For­eign Wars post during a cer­e­mony at the Vet­erans Memo­rial on Oct. 24, 2016. A U.S. flag swayed in the wind as a VFW offi­cial pre­pared for the instal­la­tion ceremony.",Photo by Matthew Modoono
section-2,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_098.jpg,"Members of the Northeastern University Army ROTC participate in the annual Veterans Day ceremony held on Nov. 11, 2016. ",Left photo by Matthew Modoono. Right photo by Adam Glanzman 
section-2,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_097.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_095.jpg,"ROTC Cdt. Marissa Henson, S’20, studies on Cen­ten­nial Common at Northeastern University on Sept. 13, 2016. ",Photo by Matthew Modoono
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_094.jpg,"Students walk through Snell Quad on Sept. 19, 2016.",Photo by Adam Glanzman
section-3,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_093.jpg,"Top Left: Joana Brown, BHS'20, poses for a portrait on Sept. 9, 2016. Top Right: Andrew Tu, E'20, poses for a portrait on Sept. 16, 2016. Bottom Left: Denise Bates, SSH'21, poses for a portrait on Sept. 27, 2016. Bottom Right: Lily Zhang, DMSB'19 poses for a portrait on Sept. 19, 2016.  ",Top left and bottom right photo by Adam Glanzman. Top right and bottom left photo by Matthew Modoono
section-3,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_092.jpg,,
section-3,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_096.jpg,,
section-3,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_091.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_090.jpg,"Graduate students in Northeastern's Three Seas program go for a dive at Northeastern's Marine Science Center campus in Nahant, Massachusetts on Sept. 8, 2016. ",Photo by Adam Glanzman
